,x,y,z,uuid,label
0,-0.88449,0.03287,-0.4654,6CC3A845-AE8C-4214-BC72-DD5345D6B301,banked-left
1,-0.819643,-0.080716,-0.567159,98C2DDDA-15C9-4A0E-BDE7-833A7B886BB7,banked-left
2,-0.811459,0.046092,-0.582589,2EE6AA91-BA5B-4051-AAD8-6FC9B10FA412,banked-left
3,-0.894724,-0.021103,-0.44612,C1F01144-2D27-4715-BF16-DCEEAD6FF99F,banked-left
4,-0.833622,-0.101408,-0.542946,9E058841-ECB7-4077-A91E-08342CD313D4,banked-left
5,-0.903071,-0.002635,-0.429483,E8E89474-9AE8-476F-A41C-30BC113F5498,banked-left
6,-0.817487,-0.063702,-0.572414,C4F3D011-0253-4821-9D10-93BF86A6E5C6,banked-left
7,-0.897177,-0.000226,-0.441672,CC5F4B16-11DA-4EA2-A361-3EB33A99BFC3,banked-left
8,-0.796643,-0.005788,-0.604423,9CCC2C10-CE00-4DE5-9789-88E5F6327EF3,banked-left
9,-0.761061,-0.123021,-0.636908,4821B49E-9AC8-4AA4-B45A-87C39BA4A84C,banked-left
10,-0.848145,0.014322,-0.529571,85A4DC4A-C06E-4FAA-8C6F-75B42DD30FAB,banked-left
11,-0.889473,-0.00858,-0.456908,E967B671-4EF4-473A-8D3B-19FCCDD494E3,banked-left
12,-0.903601,0.001442,-0.428374,5B22A126-27AA-467C-9672-AE0389B9D9A4,banked-left
13,-0.734804,-0.027842,-0.677708,CEFBBA60-BE73-49FC-A0C2-D36B23D91202,banked-left
14,-0.783418,-0.013253,-0.621353,A1DDDD58-832B-43AE-8CA8-03A29A42A1BF,banked-left
15,-0.906486,0.007521,-0.42217,EDEC7D4F-142F-401F-A934-F2F1D7A64B14,banked-left
16,-0.767103,0.008666,-0.641465,F8D14C7E-1AD7-4B06-8F08-D2814B3A2B91,banked-left
17,-0.813538,-0.044928,-0.579774,51C3F823-6603-4324-8AE2-EACB6D091562,banked-left
18,-0.818218,-0.010836,-0.574807,C4B8D626-68E0-4275-8132-2E6AF35C2B87,banked-left
19,-0.816689,-0.068925,-0.572946,BB00A55D-4029-43D4-9449-954E2680445A,banked-left
20,-0.858874,0.003438,-0.512176,C18C50D2-0412-44B8-8511-B626DCB9DE54,banked-left
21,-0.740203,-0.044069,-0.670938,888C6204-19C1-45AB-8CC5-A2C643CBD52E,banked-left
22,-0.812013,-0.072845,-0.579075,2732D959-3477-444C-912B-78F5138F9FFE,banked-left
23,-0.851318,-0.008076,-0.524587,382762BF-0CCD-41DB-9571-8187EE1AA2E0,banked-left
24,-0.804,-0.090736,-0.587665,838E2FA0-A13A-480C-A2EB-BA68508CC265,banked-left
25,-0.767486,-0.024717,-0.640589,312B982A-FE23-424F-9950-B3A883BC0AD0,banked-left
26,-0.809124,0.014923,-0.587448,88A170A5-5953-436F-A8FF-12FCFC711F97,banked-left
27,-0.843779,-0.105814,-0.526156,7A4CE59B-7E0C-443C-A27A-70B7C447BD3C,banked-left
28,-0.789984,-0.036865,-0.612018,DE64A6C1-633A-4C4F-B0C4-49A1891E7A36,banked-left
29,-0.828686,0.020906,-0.559322,573EED6E-F6F7-4F83-9031-3F60CC7307F6,banked-left
30,-0.792687,-0.062869,-0.606378,D3A282A3-24C2-482B-A01D-7AEA90E3F8B5,banked-left
31,-0.794121,-0.058187,-0.604968,1353E0C1-A578-4083-BA4C-CCF72BC785C2,banked-left
32,-0.819124,-0.01985,-0.573272,0D8A92AA-345A-4C7A-A3CC-022525CD09D3,banked-left
33,-0.792492,-0.031582,-0.609064,7D75A061-4AFB-4189-87BA-822BC84BF9B3,banked-left
34,-0.905617,0.032054,-0.422883,2FC841B1-FA2D-4B15-90E7-268E1EEB0FC6,banked-left
35,-0.756614,-0.019715,-0.653564,A7978681-8AFD-4AC3-979D-70E82DDDB757,banked-left
36,-0.818094,0.006235,-0.57505,0B73A16A-D7A0-4177-8B8E-F93C339297F2,banked-left
37,-0.896047,0.042538,-0.441918,2757D9F8-5BA4-490F-88D4-143F87D00985,banked-left
38,-0.79357,-0.10368,-0.599581,AEB6FD86-C957-4C8F-BFDA-7E2FC7F7676E,banked-left
39,-0.815768,-0.016882,-0.578133,DF61D23B-248A-4B6F-AB23-D3971086E3F2,banked-left
40,-0.784127,-0.07563,-0.615975,DA160CE1-9173-4228-A290-636E7C8A3CBB,banked-left
41,-0.816724,0.003052,-0.57702,19B65275-BDD7-4A6F-A04A-AB02C5C90BBC,banked-left
42,-0.868798,-0.028039,-0.494372,55565311-9FE3-47DD-B622-D86E65847E1E,banked-left
43,-0.877859,-0.032286,-0.47783,19949D69-28C2-457D-8A83-F2DFCCF0641D,banked-left
44,-0.833239,-0.036769,-0.551689,8D6CDFBC-9E13-4CA2-B34A-0F4B608F4F91,banked-left
45,-0.865785,-0.017586,-0.500108,364D4214-38C4-4E79-A468-E922335C69A2,banked-left
46,-0.84407,-0.010258,-0.536134,4AA09200-209D-4423-A989-09E5BA22A97E,banked-left
47,-0.863998,-0.044293,-0.501543,1F7FEF8E-88F7-4C10-A5F8-09754C1C157C,banked-left
